Designation	Category
Light Mark VI 1	Light
Tetrarch	Light
Harry Hopkins	Light
A.11 Infantry	Infantry
Valentine	Infantry
Churchill	Infantry
Matilda	Infantry
Heavy Churchill	Infantry
Cavalier	Cruiser
Centaur	Cruiser
Cromwell	Cruiser
Challenger	Cruiser
Comet	Cruiser
A.9 Cruiser	Cruiser
A.10 Cruiser	Cruiser
Cruiser III	Cruiser
Cruiser IV	Cruiser
Covenanter	Cruiser
Crusader	Cruiser
Cromwell X/III	Cruiser
Valentine SP	Conversion
Valentine DD	Conversion
Crusader Hulls	Conversion
Cavalier OP	Conversion
Centaur AA	Conversion
Centaur Bulldozer	Conversion
Sherman DD	Conversion
Sherman 17-pdr	Conversion
M-10 17-pdr	Conversion
