Product Type,Quantity,Cost of Goods Sold,Net Sales,Gross Profit
appliances,117,48600.72,56981.19,8380.47
appliances,411,13210.11,21557.86,8347.75
appliances,88,35893.07,43389.54,7496.47
appliances,116,11968,17758.25,5790.25
appliances,196,18164.9,22459.24,4294.34
appliances,113,22594.51,26146.49,3551.98
appliances,76,10393,13888.29,3495.29
appliances,42,4702.74,8128.51,3425.77
life,417,4614.38,8013.54,3399.16
appliances,84,7983.34,11351.45,3368.11
life,120,3780,7098.8,3318.8
appliances,84,3713.64,7002.86,3289.22
appliances,79,3295.41,6519.8,3224.39
appliances,147,6357.29,9516.08,3158.79
appliances,123,7337.2,10004.6,2667.4
life,196,6174,8518.82,2344.82
appliances,59,4055.1,6352.25,2297.15
beauty,71,447.3,2407.48,1960.18
appliances,60,2654.85,4578.29,1923.44
appliances,45,10661.63,12473.59,1811.96
appliances,77,2168.32,3942.24,1773.92
appliances,21,4189.5,5929.98,1740.48
appliances,142,3715.04,5390.98,1675.95
appliances,55,5505.5,7120.77,1615.27
life,110,4966.5,6521.24,1554.74
appliances,71,2112.25,3614.83,1502.58
appliances,141,13135.56,14626.89,1491.33
appliances,41,2597.33,4033,1435.67
appliances,40,3386.8,4770.26,1383.46
maternal,32,8798.4,10173.64,1375.24
appliances,72,6392.64,7700.83,1308.19
life,578,3760.19,5065.55,1305.37
appliances,64,2337.92,3624.9,1286.98
appliances,37,4844.6,6077.94,1233.35
appliances,23,1762.25,2974.77,1212.52
beauty,154,753.35,1961.15,1207.8
appliances,20,2552.38,3731,1178.62
maternal,59,1651.27,2779.25,1127.98
maternal,104,2208.91,3289.74,1080.83
appliances,35,2150.05,3193.62,1043.57
life,108,5891.4,6928.8,1037.4
appliances,17,1641.88,2677.12,1035.24
life,960,2018.52,2990.44,971.92
beauty,105,840.17,1748.71,908.54
appliances,87,1710.42,2615.36,904.94
appliances,32,1102.39,2004.41,902.02
appliances,28,1769.25,2638.51,869.26
life,118,4288.25,5156.55,868.3
appliances,22,4400,5264.63,864.63
appliances,153,1601.91,2448.8,846.89
life,79,2901.67,3744.6,842.93
life,720,568.8,1404.95,836.15
appliances,57,1499.89,2327.87,827.98
appliances,10,4166.02,4989.9,823.88
appliances,22,1742.62,2566.06,823.44
life,130,955.5,1767.28,811.78
life,205,1184.9,1989.08,804.18
appliances,29,623.5,1420.43,796.93
appliances,11,2255,3049.32,794.32
life,69,2861.25,3655.2,793.95
appliances,46,1704.3,2481.82,777.52
appliances,31,2591.6,3361.43,769.83
appliances,18,1137.14,1872.25,735.11
appliances,31,2328.72,3055.75,727.03
appliances,139,2780,3505.51,725.51
appliances,28,1275.34,1997.54,722.2
beauty,81,1118.99,1839.7,720.71
appliances,36,2438.24,3158.27,720.03
appliances,23,1690.5,2408.54,718.04
appliances,12,2785.08,3501.48,716.4
appliances,12,2887.5,3600,712.5
maternal,65,1750.72,2458.23,707.51
appliances,9,1130.58,1837.8,707.22
appliances,4,1551.25,2252.46,701.21
appliances,18,1119.96,1820.87,700.91
life,165,647.08,1337.72,690.65
appliances,14,1280.56,1971.02,690.46
life,50,304.5,986.04,681.54
appliances,8,2436,3112.21,676.21
life,18,756,1415.83,659.83
appliances,23,1024.99,1682.57,657.58
