Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
1	0	1	0d 00:00:0	0d 00:00:0	0.00000	0.00000	0.00000	4.13825	R	0.00000
2	0	1	0d 00:01:0	0d 00:01:0	0.00000	0.00000	0.00000	4.15023	R	0.00000
3	1	4	0d 00:01:0	0d 00:00:0	0.00000	0.00000	0.00050	4.14687	P	2.26676
4	1	5	0d 00:01:0.00999999977648258	0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	4.14977	D	2.26676
5	1	5	0d 00:02:0.00999999977648258	0d 00:01:0.00999999977648258	0.00001	0.00003	0.00050	4.14328	D	2.26676
6	1	5	0d 00:03:0.00999999977648258	0d 00:02:0.00999999977648258	0.00002	0.00007	0.00050	4.14206	D	2.26676
7	1	5	0d 00:04:0.00999999977648258	0d 00:03:0.00999999977648258	0.00002	0.00010	0.00050	4.14115	D	2.26676
8	1	5	0d 00:05:0.00999999977648258	0d 00:04:0.00999999977648258	0.00003	0.00014	0.00050	4.14054	D	2.26676
9	1	5	0d 00:06:0.00999999977648258	0d 00:05:0.00999999977648258	0.00004	0.00017	0.00050	4.14000	D	2.26676
10	1	5	0d 00:07:0.00999999977648258	0d 00:06:0.00999999977648258	0.00005	0.00021	0.00050	4.13947	D	2.26676
11	1	5	0d 00:08:0.00999999977648258	0d 00:07:0.00999999977648258	0.00006	0.00024	0.00050	4.13878	D	2.26676
12	1	5	0d 00:09:0.00999999977648258	0d 00:08:0.00999999977648258	0.00007	0.00028	0.00050	4.13840	D	2.26676
13	1	5	0d 00:10:0.00999999977648258	0d 00:09:0.00999999977648258	0.00007	0.00031	0.00050	4.13787	D	2.26676
14	1	5	0d 00:11:0.00999999977648258	0d 00:10:0.00999999977648258	0.00008	0.00035	0.00050	4.13741	D	2.26676
15	1	5	0d 00:12:0.00999999977648258	0d 00:11:0.00999999977648258	0.00009	0.00038	0.00050	4.13710	D	2.26676
16	1	5	0d 00:13:0.00999999977648258	0d 00:12:0.00999999977648258	0.00010	0.00041	0.00050	4.13642	D	2.26676
17	1	5	0d 00:14:0.00999999977648258	0d 00:13:0.00999999977648258	0.00011	0.00045	0.00050	4.13603	D	2.26676
18	1	5	0d 00:15:0.00999999977648258	0d 00:14:0.00999999977648258	0.00012	0.00048	0.00050	4.13565	D	2.26676
19	1	5	0d 00:16:0.00999999977648258	0d 00:15:0.00999999977648258	0.00012	0.00052	0.00050	4.13519	D	2.26676
20	1	5	0d 00:17:0.00999999977648258	0d 00:16:0.00999999977648258	0.00013	0.00055	0.00050	4.13466	D	2.26676
21	1	5	0d 00:18:0.00999999977648258	0d 00:17:0.00999999977648258	0.00014	0.00059	0.00050	4.13436	D	2.26676
22	1	5	0d 00:19:0.00999999977648258	0d 00:18:0.00999999977648258	0.00015	0.00062	0.00050	4.13390	D	2.26676
23	1	5	0d 00:20:0.00999999977648258	0d 00:19:0.00999999977648258	0.00016	0.00066	0.00050	4.13344	D	2.26676
24	1	5	0d 00:21:0.00999999977648258	0d 00:20:0.00999999977648258	0.00017	0.00069	0.00050	4.13306	D	2.26676
25	1	5	0d 00:22:0.00999999977648258	0d 00:21:0.00999999977648258	0.00018	0.00072	0.00050	4.13260	D	2.26676
26	1	5	0d 00:23:0.00999999977648258	0d 00:22:0.00999999977648258	0.00018	0.00076	0.00050	4.13222	D	2.26676
27	1	5	0d 00:24:0.00999999977648258	0d 00:23:0.00999999977648258	0.00019	0.00079	0.00050	4.13176	D	2.26676
28	1	5	0d 00:25:0.00999999977648258	0d 00:24:0.00999999977648258	0.00020	0.00083	0.00050	4.13138	D	2.26676
29	1	5	0d 00:26:0.00999999977648258	0d 00:25:0.00999999977648258	0.00021	0.00086	0.00050	4.13092	D	2.26676
30	1	5	0d 00:27:0.00999999977648258	0d 00:26:0.00999999977648258	0.00022	0.00090	0.00050	4.13069	D	2.26676
31	1	5	0d 00:28:0.00999999977648258	0d 00:27:0.00999999977648258	0.00023	0.00093	0.00050	4.13016	D	2.26676
32	1	5	0d 00:29:0.00999999977648258	0d 00:28:0.00999999977648258	0.00023	0.00097	0.00050	4.12978	D	2.26676
33	1	5	0d 00:30:0.00999999977648258	0d 00:29:0.00999999977648258	0.00024	0.00100	0.00050	4.12924	D	2.26676
34	1	5	0d 00:31:0.00999999977648258	0d 00:30:0.00999999977648258	0.00025	0.00103	0.00050	4.12902	D	2.26676
35	1	5	0d 00:32:0.00999999977648258	0d 00:31:0.00999999977648258	0.00026	0.00107	0.00050	4.12848	D	2.26676
36	1	5	0d 00:33:0.00999999977648258	0d 00:32:0.00999999977648258	0.00027	0.00110	0.00050	4.12818	D	2.26676
37	1	5	0d 00:34:0.00999999977648258	0d 00:33:0.00999999977648258	0.00028	0.00114	0.00050	4.12772	D	2.26676
