price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
2200.0,2000.0,nissan,maxima,acceptable,6.0,gas,200000.0,clean,automatic,fwd,sedan,green
1600.0,2000.0,nissan,quest ,acceptable,,gas,152120.0,clean,automatic,,mini-van,
2500.0,2000.0,nissan,fronti,acceptable,4.0,gas,161000.0,clean,manual,rwd,truck,
2000.0,2000.0,nissan,pathfi,acceptable,6.0,gas,270000.0,rebuilt,automatic,rwd,SUV,custom
4500.0,2001.0,nissan,fronti,acceptable,6.0,gas,203000.0,clean,automatic,4wd,truck,
3500.0,2001.0,nissan,xterra,acceptable,6.0,gas,166000.0,clean,automatic,fwd,SUV,white
2500.0,2001.0,nissan,maxima,acceptable,6.0,gas,139000.0,clean,automatic,fwd,sedan,yellow
1600.0,2001.0,nissan,xterra,acceptable,6.0,gas,150000.0,clean,automatic,4wd,SUV,silver
1550.0,2001.0,nissan,xterra,acceptable,6.0,gas,176854.0,clean,automatic,fwd,SUV,green
2500.0,2002.0,nissan,pathfi,acceptable,6.0,gas,195000.0,clean,automatic,rwd,SUV,blue
2200.0,2002.0,nissan,pathfi,acceptable,6.0,gas,163385.0,clean,automatic,4wd,SUV,custom
2450.0,2002.0,nissan,xterra,acceptable,6.0,gas,240092.0,clean,automatic,4wd,SUV,silver
3000.0,2002.0,nissan,pathfi,acceptable,6.0,gas,233973.0,clean,automatic,,SUV,grey
2200.0,2002.0,nissan,maxima,acceptable,6.0,gas,170000.0,clean,automatic,,sedan,
3000.0,2002.0,nissan,fronti,acceptable,6.0,gas,122065.0,clean,automatic,4wd,pickup,black
2600.0,2002.0,nissan,altima,acceptable,6.0,gas,220116.0,clean,automatic,fwd,sedan,silver
3500.0,2002.0,nissan,fronti,acceptable,4.0,gas,150000.0,clean,automatic,,,
2900.0,2002.0,nissan,xterra,acceptable,6.0,gas,163000.0,clean,automatic,4wd,SUV,blue
1200.0,2002.0,nissan,maxima,acceptable,6.0,gas,227600.0,clean,automatic,fwd,sedan,black
4900.0,2002.0,nissan,fronti,acceptable,,gas,175000.0,clean,automatic,,,
