SOC	VBAT
0%	3.41690
1%	3.49047
2%	3.54508
3%	3.58806
4%	3.62151
5%	3.64756
6%	3.66461
7%	3.67187
8%	3.67587
9%	3.67924
10%	3.68193
11%	3.68462
12%	3.68759
13%	3.69077
14%	3.69414
15%	3.70052
16%	3.70600
17%	3.71116
18%	3.71605
19%	3.72086
20%	3.72562
21%	3.72990
22%	3.73395
23%	3.73713
24%	3.74032
25%	3.74360
26%	3.74692
27%	3.75031
28%	3.75381
29%	3.75731
30%	3.76083
31%	3.76436
32%	3.76760
33%	3.77078
34%	3.77385
35%	3.77675
36%	3.77964
37%	3.78243
38%	3.78517
39%	3.78791
40%	3.79062
41%	3.79332
42%	3.79602
43%	3.79879
44%	3.80158
45%	3.80437
46%	3.80738
47%	3.81040
48%	3.81350
49%	3.81674
50%	3.81998
51%	3.82341
52%	3.82686
53%	3.83045
54%	3.83413
55%	3.83795
56%	3.84193
57%	3.84603
58%	3.85029
59%	3.85486
60%	3.85963
61%	3.86486
62%	3.87035
63%	3.87619
64%	3.88281
65%	3.89012
66%	3.89775
67%	3.90551
68%	3.91324
69%	3.92078
70%	3.92802
71%	3.93507
72%	3.94199
73%	3.94881
74%	3.95555
75%	3.96226
76%	3.96909
77%	3.97596
78%	3.98288
79%	3.98991
80%	3.99703
81%	4.00422
82%	4.01153
83%	4.01900
84%	4.02662
85%	4.03436
86%	4.04227
87%	4.05019
88%	4.05813
89%	4.06615
90%	4.07438
91%	4.08280
92%	4.09130
93%	4.09988
94%	4.10861
95%	4.11752
96%	4.12662
97%	4.13602
98%	4.14602
99%	4.15770
100%	4.20000
