productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,1:10,Min Lin Diecast,This replica features working kickstand front suspension gear-shift lever footbrake lever drive chai,7933,48.81,95.70
S10_1949,1952 Alpine Renault 1300,Classic Cars,1:10,Classic Metal Creations,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening ,7305,98.58,214.30
S10_2016,1996 Moto Guzzi 1100i,Motorcycles,1:10,Highway 66 Mini Classics,Official Moto Guzzi logos and insignias saddle bags located on side of motorcycle detailed engine wo,6625,68.99,118.94
S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,1:10,Red Start Diecast,Model features official Harley Davidson logos and insignias detachable rear wheelie bar heavy diecas,5582,91.02,193.66
S10_4757,1972 Alfa Romeo GTA,Classic Cars,1:10,Motor City Art Classics,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; open,3252,85.68,136.00
S10_4962,1962 LanciaA Delta 16V,Classic Cars,1:10,Second Gear Diecast,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; open,6791,103.42,147.74
S12_1099,1968 Ford Mustang,Classic Cars,1:12,Autoart Studio Design,Hood doors and trunk all open to reveal highly detailed interior features. Steering wheel actually t,68,95.34,194.57
S12_1108,2001 Ferrari Enzo,Classic Cars,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening ,3619,95.59,207.80
S12_1666,1958 Setra Bus,Trucks and Buses,1:12,Welly Diecast Productions,Model features 30 windows skylights & glare resistant glass working steering system original logos,1579,77.90,136.67
S12_2823,2002 Suzuki XREO,Motorcycles,1:12,Unimax Art Galleries,Official logos and insignias saddle bags located on side of motorcycle detailed engine working steer,9997,66.27,150.62
S12_3148,1969 Corvair Monza,Classic Cars,1:18,Welly Diecast Productions,1:18 scale die-cast about 10 long doors open hood opens trunk opens and wheels roll,6906,89.14,151.08
S12_3380,1968 Dodge Charger,Classic Cars,1:12,Welly Diecast Productions,1:12 scale model of a 1968 Dodge Charger. Hood doors and trunk all open to reveal highly detailed in,9123,75.16,117.44
